Aikaleima,Artist,Song,Anime/TV show
,Ali Project,God Diva ,.hack//G.U. Retuner
,See-Saw,Edge ,.hack//Liminality
,See-Saw,Kimi ga Ita Monogatari ,.hack//Liminality
,See-Saw,Kioku ,.hack//Liminality
,See-Saw,Senyaichiya ,.hack//Liminality
,See-Saw,Tasogare no Umi ,.hack//Liminality
,Yuuka Nanri,Shizuku ,.hack//Quantum
,Ali Project,Boukoku Kakusei Catharsis ,.hack//Roots
,FictionJunction YUUKA,Silly-go-Round ,.hack//Roots
,Yuki Suzuki,Aka no Kakera ,07-Ghost
,Kanako Takatsuki,Anti world ,100man no Inochi no Ue ni Ore wa Tatteiru
,Liyuu,Carpe Diem ,100man no Inochi no Ue ni Ore wa Tatteiru
,Ayane,Arrival of Tears ,11eyes
,Asriel,Sequentia ,11eyes
,Kaoru,Kurukururin ,2x2 = Shinobuden
,BUMP OF CHICKEN,Answer ,3-gatsu no Lion
,BUMP OF CHICKEN,Fighter ,3-gatsu no Lion
,hitorie,3-pun 29-byou ,85 EIGHTY-SIX
,SawanoHiroyuki[nZk] mizuki,Avid ,86 EIGHTY-SIX
,TK from Ling Tosite Sigure,Signal ,91 Days
,FripSide,Everlasting ,Aa! Megami-sama! (2011)
,Megumi Hayashibara,Anata no kokoro ni ,Abenobashi Mahou Shoutengai
,Nozomi Yamamoto & Haruka Yamazaki,Apple Tea no Aji ,Absolute Duo
,ALTIMA,Burst The Gravity ,Accel World
,May'n,Chase the World ,Accel World
,Kotoko,unfinished ,Accel World
,Sachika Misawa,Unite. ,Accel World
,Acchi Kocchi,Acchi de Kocchi de ,Acchi Kocchi
,Tomohisa Yamashita,Never Lose ,Ace Attorney
,Tomohisa Yamashita,Reason ,Ace Attorney
,AKINO with bless4,Golden Life ,Active Raid
,ROmantic Mode,Dreams ,After War Gundam X
,ROmantic Mode,Resolution ,After War Gundam X
,Yoko Ishida,Bokura no Kiseki ,Ah! My Goddess
,The Goddess Family Club,Congratulations ,Ah! My Goddess
,The Goddess Family Club,"My Heart iidasenai, Your Heart tashikametai ",Ah! My Goddess
,Yoko Ishida,Negai ,Ah! My Goddess
,Yoko Ishida,Open Your Mind ~Chiisana Hane Hirogete~ ,Ah! My Goddess
,Yoko Ishida,Shiawase no Iro ,Ah! My Goddess
,Yoko Takahashi,Wing ,Ah! My Goddess
,Jyukai,Ai no Hoshi ,Ah! My Godess
